Date,Open,High,Low,Close,Adj Close,Volume
24-05-2018,596.224976,613.799988,596.224976,610.924988,595.12085,509566
25-05-2018,611.5,624,610.674988,614.400024,598.506042,411422
28-05-2018,614.150024,616.474976,603.049988,607.25,591.540955,380406
29-05-2018,610,612.775024,603.5,608.325012,592.588135,117418
30-05-2018,608.349976,614.5,603.5,607.049988,591.34613,752216
31-05-2018,608.5,620,605.224976,615.950012,600.015869,210638
01-06-2018,615.950012,622.575012,608.950012,610.125,594.341614,265564
04-06-2018,610,621.674988,606.375,619.799988,603.766296,177580
05-06-2018,612.549988,620.5,608.5,610.599976,594.80426,91660
06-06-2018,610.599976,620.299988,610.049988,617.799988,601.817993,135156
07-06-2018,619,628.5,618.5,625.400024,609.221436,314002
08-06-2018,624.950012,631.224976,622.575012,629.875,613.580688,831570
11-06-2018,629.875,635,628,631.525024,615.187988,137442
12-06-2018,632.5,635.424988,625.450012,629.200012,612.923157,218432
13-06-2018,632.5,642,630.5,638.049988,621.544189,225814
14-06-2018,629.5,629.5,617.025024,619.349976,603.327942,299516
15-06-2018,619.349976,645,618.5,640.224976,623.662903,388532
18-06-2018,642.5,645.25,631.150024,633.25,616.868347,181664
19-06-2018,633,633,618,622.025024,605.933777,209950
20-06-2018,622.5,626.224976,619.549988,621.674988,605.592773,110252
21-06-2018,625,627.900024,618.724976,623.174988,607.053955,101388
22-06-2018,622.75,627,620.900024,623.224976,607.102722,78710
25-06-2018,625,639.474976,625,636.150024,619.693359,290806
26-06-2018,634.950012,641.900024,630,638.924988,622.396545,153978
27-06-2018,640.575012,646.950012,632.150024,634.599976,618.183411,201170
28-06-2018,634.599976,649.099976,634.599976,644.424988,627.754272,196668
29-06-2018,647.599976,656.724976,642,653.375,636.472778,237246
02-07-2018,656.950012,670.900024,656.950012,667.224976,649.964478,241902
03-07-2018,670,679,666.650024,676.825012,659.316101,274660
04-07-2018,676.5,677.474976,669.849976,672.299988,654.908203,131976
05-07-2018,674.900024,675,634.424988,642.25,625.635498,914538
06-07-2018,640,650.674988,634.75,642.25,625.635498,397914
09-07-2018,646.275024,651.5,639.75,649.575012,632.771057,296840
10-07-2018,652.599976,657.75,647.5,651.25,634.402771,273558
11-07-2018,655,670.950012,646.5,660.174988,643.096802,598286
12-07-2018,662,663.349976,642.299988,647.299988,630.554871,989930
13-07-2018,655,665.674988,650.075012,654.549988,637.617371,2211442
16-07-2018,662.5,692.200012,644.174988,666.525024,649.282593,1918862
17-07-2018,666.349976,674.400024,656.75,663.700012,646.530701,532454
18-07-2018,670,671.599976,657.174988,661.200012,644.095337,369338
19-07-2018,661.200012,665.150024,655.424988,658.275024,641.246033,232292
20-07-2018,660.525024,683.525024,660.525024,674.174988,656.73468,1632896
23-07-2018,675.049988,684.025024,668.349976,677.875,660.338989,260560
24-07-2018,681,689.900024,678.25,688,670.202026,226976
25-07-2018,690,696.049988,683.049988,691.849976,673.952393,385108
26-07-2018,690,694.849976,684.5,687.599976,669.812378,1789150
27-07-2018,690,694.150024,685,687.275024,669.495789,2532768
30-07-2018,692.5,692.5,675,676.575012,659.072632,3184204
